nick,created,isProUser,type,consumedTrial,isVerified,pinUrl,pinAnchor,pinIsdefault,fullBodyPin,color,url,id,countryCode,brLevel,brDivision,streakProgress,explorerProgress,dailyChallengeProgress,progressXp,progressLevel,progressLevelxp,progressNextlevel,progressNextlevelxp,progressTitleId,progressTitleTierid,progressCompetitionmedalsBronze,progressCompetitionmedalsSilver,progressCompetitionmedalsGold,progressCompetitionmedalsPlatinum,competitiveElo_deprecated,competitiveRating_deprecated,competitiveLastratingchange_deprecated,competitiveDivisionType_deprecated,competitiveDivisionStartrating_deprecated,competitiveDivisionEndrating_deprecated,competitiveOnleaderboard_deprecated,lastNameChange,lastNickOrCountryChange,isBanned,chatBan,nameChangeAvailableAt,avatarFullbodypath,isBotUser,suspendedUntil,wallet,flair,isCreator,isAppAnonymous,rankedTeamDuelsStandardNumgamesplayed,rankedTeamDuelsStandardNumwins,rankedTeamDuelsStandardWinratio,rankedTeamDuelsNoMoveNumgamesplayed,rankedTeamDuelsNoMoveNumwins,rankedTeamDuelsNoMoveWinratio,rankedTeamDuelsNmpzNumgamesplayed,rankedTeamDuelsNmpzNumwins,rankedTeamDuelsNmpzWinratio,rankedTeamDuelsTotalNumgamesplayed,rankedTeamDuelsTotalNumwins,rankedTeamDuelsTotalWinratio,battleRoyaleDistanceNumgamesplayed,battleRoyaleDistanceAvgposition,battleRoyaleDistanceNumwins,battleRoyaleDistanceWinratio,battleRoyaleDistanceAvgguessdistance,battleRoyaleDistanceNumguesses,battleRoyaleCountryNumgamesplayed,battleRoyaleCountryAvgposition,battleRoyaleCountryNumwins,battleRoyaleCountryWinratio,battleRoyaleCountryNumguesses,battleRoyaleCountryAvgcorrectguesses,battleRoyaleMedalsMedalcountgold,battleRoyaleMedalsMedalcountsilver,battleRoyaleMedalsMedalcountbronze,competitiveCityStreaksNumgamesplayed,competitiveCityStreaksAvgposition,competitiveCityStreaksNumwins,competitiveCityStreaksWinratio,competitiveCityStreaksNumguesses,competitiveCityStreaksAvgcorrectguesses,competitiveStreaksMedalsMedalcountgold,competitiveStreaksMedalsMedalcountsilver,competitiveStreaksMedalsMedalcountbronze,duelsNumgamesplayed,duelsAvgposition,duelsNumwins,duelsWinratio,duelsAvgguessdistance,duelsNumguesses,duelsNumflawlesswins,duelsNoMoveNumgamesplayed,duelsNoMoveAvgposition,duelsNoMoveNumwins,duelsNoMoveWinratio,duelsNoMoveAvgguessdistance,duelsNoMoveNumguesses,duelsNoMoveNumflawlesswins,duelsNmpzNumgamesplayed,duelsNmpzAvgposition,duelsNmpzNumwins,duelsNmpzWinratio,duelsNmpzAvgguessdistance,duelsNmpzNumguesses,duelsNmpzNumflawlesswins,duelsTotalNumgamesplayed,duelsTotalAvgposition,duelsTotalNumwins,duelsTotalWinratio,duelsTotalAvgguessdistance,duelsTotalNumguesses,duelsTotalNumflawlesswins,duelsMedalsMedalcountgold,duelsMedalsMedalcountsilver,duelsMedalsMedalcountbronze,lifeTimeXpProgressionXp,lifeTimeXpProgressionCurrentlevelLevel,lifeTimeXpProgressionCurrentlevelXpstart,lifeTimeXpProgressionNextlevelLevel,lifeTimeXpProgressionNextlevelXpstart,lifeTimeXpProgressionCurrenttitleId,lifeTimeXpProgressionCurrenttitleTierid,lifeTimeXpProgressionCurrenttitleMinimumlevel,lifeTimeXpProgressionCurrenttitleName,totalMedalsMedalcountgold,totalMedalsMedalcountsilver,totalMedalsMedalcountbronze,teamDuelsNumgamesplayed,teamDuelsNumwins,teamDuelsWinratio,perfectRounds,divisionNumber,divisionName,rating,tier,gameModeRatingsNomoveduels,gameModeRatingsNmpzduels,divisionNumberBest,divisionPositionBest,divisionNameBest,divisionTierBest,gameModeRatingsStandardduels,positionDuelsLeaderboard,current_time
Bastel,2016-08-17,True,Unlimited,True,True,pin/ec61c21ec48758e8df6c6551842bab37.png,center-center,False,pin/d637dfc3040e8add6eb9e196216e9d96.png,0,/user/57b4d8cb750837606cdd7602,57b4d8cb750837606cdd7602,France,184,50,,,0,2237120,184,2205790,185,2239240,390,190,0,0,50,0,1325,1826,27,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/d637dfc3040e8add6eb9e196216e9d96.png,False,,,2,False,False,21,14,0.6666667,63,31,0.4920635,37,12,0.3243243,121,57,0.47107437,1189,1.7947855,745,62.66,489.55,8839,1895,2.1530342,1092,57.63,4611,81.41,34,0,0,37,1.2702702,29,0.7837838,758,0.76649076,7,0,0,7630,1.1622542,6392,83.77,309.35,65682,201,385,1.4727273,203,52.73,627.5,3222,15,166,1.620482,63,37.95,1259.68,1232,3,8181,1.4184879,6658,81.38,732.17,70136,219,9,0,0,2237120,184,2205790,185,2239240,390,190,180,Ultimate Explorer Supreme,50,0,0,11,10,0.90909094,7243,1,Champion,1822,Champion,1353,1525,1,2,Champion,Champion,1813,60,10-22-2024 18:53:28
kyleb_b,2017-09-23,True,Pro,True,False,pin/3fdd9d5aa5cd81c77c19b4c32b39020b.png,center-center,False,pin/ecf3e2bb8d0df73f3342b7691d19730f.png,0,/user/59c6ad50d8fe1d5b30633fc6,59c6ad50d8fe1d5b30633fc6,United States of America,108,50,,,0,519721,108,516500,109,529370,310,110,0,0,1,0,1277,1778,15,50,1100,1500,True,2022-06-03T03:50:48.0840000Z,2022-06-03T03:50:48.0840000Z,False,False,,pin/ecf3e2bb8d0df73f3342b7691d19730f.png,False,,,0,False,False,3,1,0.33333334,47,22,0.4680851,66,37,0.56060606,116,60,0.51724136,3,4.0,2,66.67,1837.91,12,8,5.375,1,12.5,38,57.89,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,588,1.4693878,312,53.06,646.71,4554,9,437,1.4805492,227,51.95,596.37,3744,13,1188,1.5,594,50.0,1056.54,9374,42,2213,1.4833122,1133,51.2,766.54,17672,64,1,0,0,519721,108,516500,109,529370,310,110,100,Master Explorer Pro,1,0,0,45,38,0.84444445,134,1,Champion,1820,Champion,,1806,1,33,Champion,Champion,,61,10-22-2024 18:53:28
TsunTsunSayu,2017-09-17,True,Elite,True,False,pin/c889a6298fa37d2fd30a6f0ecbf84385.png,center-center,False,pin/17de4891f87260160a6c2d31d5ce0dc6.png,0,/user/59bdec1d5d2de42c64aad06f,59bdec1d5d2de42c64aad06f,Brazil,140,50,,,0,1057883,140,1040010,141,1060380,350,150,0,0,0,0,1002,1503,15,50,1100,1500,True,2024-09-26T11:42:28.8250000Z,2024-09-26T11:42:28.8250000Z,False,False,2024-10-26T11:42:28.8250000Z,pin/17de4891f87260160a6c2d31d5ce0dc6.png,False,2024-08-18T00:39:03.8720000Z,,1,False,False,41,27,0.6585366,53,43,0.8113208,18,11,0.6111111,112,81,0.72321427,7,2.857143,4,57.14,157.73,68,1479,3.7985125,394,26.64,8503,54.86,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,98,1.4489796,54,55.1,1419.61,543,5,150,1.2466667,113,75.33,403.18,1214,10,35,1.4,21,60.0,554.61,273,2,283,1.3652153,188,66.43,792.47,2030,17,0,0,0,1057883,140,1040010,141,1060380,350,150,140,Supreme Explorer Pro,0,0,0,10,9,0.9,124,1,Champion,1820,Champion,1808,1805,1,28,Champion,Champion,,62,10-22-2024 18:53:28
Grzejnik,2020-11-16,True,Pro,True,False,pin/2f7baedfcb2bdec6c66300a8e792fdc4.png,center-center,False,pin/69719afdc864cde0e0f3138ce4a03abd.png,0,/user/5fb2653d0fc1350001294999,5fb2653d0fc1350001294999,Poland,156,50,,,0,1412435,156,1398270,157,1423030,360,160,0,0,0,0,1196,1697,-11,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/69719afdc864cde0e0f3138ce4a03abd.png,False,,,0,False,False,40,29,0.725,157,98,0.6242038,50,32,0.64,247,159,0.6437247,2,5.5,0,0.0,590.34,8,30,3.7666667,5,16.67,184,64.13,0,0,0,9,2.2222223,3,0.33333334,111,0.6576577,0,0,0,562,1.2580072,417,74.2,430.71,4905,14,451,1.2838137,323,71.62,342.67,4150,34,34,1.4411764,19,55.88,672.32,312,2,1047,1.3276658,759,72.49,481.9,9367,50,0,0,0,1412435,156,1398270,157,1423030,360,160,150,Supreme Explorer Elite,0,0,0,10,8,0.8,945,1,Champion,1819,Champion,1818,1720,1,1,Champion,Champion,1796,63,10-22-2024 18:53:28
Tom,2022-04-08,True,Unlimited,True,False,pin/252e7d557b8976c30df78f0e4efea1c3.png,center-center,False,pin/252c6e7c7a573cab5e65bf357c18789c.png,0,/user/62501808475510c8f5f4ef79,62501808475510c8f5f4ef79,Finland,200,50,,,0,3618129,200,2782050,200,2782050,410,200,0,0,0,0,1220,1721,17,50,1100,1500,True,2024-08-09T23:14:48.1540000Z,2024-08-09T23:14:48.1540000Z,False,False,,pin/252c6e7c7a573cab5e65bf357c18789c.png,False,,,0,False,False,3,2,0.6666667,7,4,0.5714286,8,5,0.625,18,11,0.6111111,37,1.8648648,21,56.76,596.76,258,144,1.9930556,100,69.44,1034,84.82,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,853,1.3845252,525,61.55,1246.26,5374,33,255,1.3960785,154,60.39,502.18,2219,15,486,1.3703704,306,62.96,832.21,3530,38,1594,1.383658,985,61.79,860.22,11123,86,0,0,0,3618129,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,0,0,0,123,116,0.9430894,1522,1,Champion,1819,Champion,1798,,1,13,Champion,Champion,,64,10-22-2024 18:53:28
Clement,2022-10-28,True,Pro,True,False,pin/3a4ca1dbc205ae580d8e11612fcb1905.png,center-center,False,pin/d53498b5d17f4ace974875f8ce5fab17.png,0,/user/635c171d190621fb60d8bb08,635c171d190621fb60d8bb08,Denmark,165,50,,,0,1646823,165,1631590,166,1659000,370,170,0,0,0,0,1241,1742,-21,50,1100,1500,True,2024-10-12T14:47:34.5310000Z,2024-10-12T14:47:34.5310000Z,False,False,2024-11-11T14:47:34.5310000Z,pin/d53498b5d17f4ace974875f8ce5fab17.png,False,,,0,False,False,9,7,0.7777778,265,191,0.72075474,182,119,0.65384614,456,317,0.6951754,11,3.2727273,6,54.55,360.15,89,5,1.2,4,80.0,33,72.73,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,2857,1.3906195,1741,60.94,545.19,23243,101,2116,1.3577504,1359,64.22,580.77,18505,119,3996,1.402903,2386,59.71,865.11,31518,239,8969,1.3837576,5486,61.17,663.69,73266,459,0,0,0,1646823,165,1631590,166,1659000,370,170,160,Ultimate Explorer,0,0,0,72,64,0.8888889,336,1,Champion,1817,Champion,1916,1771,1,6,Champion,Champion,,65,10-22-2024 18:53:28
pan,2021-01-04,True,Pro,True,False,pin/0284c32459c0c35e5a9582a453c94038.png,center-center,False,pin/2d88cf099a2f9d73bf9b2ccb2d3f7b27.png,0,/user/5ff3206bbc4e8c00013e4b25,5ff3206bbc4e8c00013e4b25,Greece,172,50,,,0,1841256,172,1829870,173,1859440,380,180,0,0,0,0,1308,1809,17,50,1100,1500,True,2023-01-28T14:37:18.9070000Z,2023-01-28T14:37:18.9070000Z,False,False,,pin/2d88cf099a2f9d73bf9b2ccb2d3f7b27.png,False,,,0,False,False,16,11,0.6875,601,406,0.67554075,187,111,0.59358287,804,528,0.6567164,104,2.625,50,48.08,604.64,1125,324,3.5308642,111,34.26,843,75.21,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,394,1.3299493,264,67.01,535.36,3216,17,365,1.3013699,255,69.86,363.67,3284,20,28,1.3571428,18,64.29,707.55,207,1,787,1.3294873,537,68.23,535.52,6707,38,0,0,0,1841256,172,1829870,173,1859440,380,180,170,Ultimate Explorer Pro,0,0,0,1,1,1.0,379,1,Champion,1813,Champion,1802,,1,4,Champion,Champion,,66,10-22-2024 18:53:28
wookGG (YouTube),2022-11-28,True,Unlimited,True,True,pin/fdf34a13906b81fa666c08b6bc3764be.png,center-center,False,pin/8ad99a95f20045590784aae2004ce1fe.png,0,/user/6384aef735180c664babf36e,6384aef735180c664babf36e,Serbia,172,50,,,0,1845077,172,1829870,173,1859440,380,180,0,0,0,0,1131,1632,24,50,1100,1500,True,2023-09-20T10:17:17.7150000Z,2023-09-20T10:17:17.7150000Z,False,False,,pin/8ad99a95f20045590784aae2004ce1fe.png,False,,,2,False,False,1,0,0.0,34,19,0.5588235,21,14,0.6666667,56,33,0.58928573,99,1.7373737,68,68.69,272.36,961,88,1.6704545,66,75.0,600,89.17,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,5085,1.2989184,3565,70.11,362.94,46115,82,1021,1.403526,609,59.65,440.47,9444,35,2331,1.4603175,1258,53.97,775.79,19476,85,8437,1.3875872,5432,64.38,526.4,75035,202,0,0,0,1845077,172,1829870,173,1859440,380,180,170,Ultimate Explorer Pro,0,0,0,36,36,1.0,247,1,Champion,1809,Champion,1593,1796,1,26,Champion,Champion,,67,10-22-2024 18:53:28
DerZiggi,2020-01-11,True,Unlimited,True,True,pin/5e3cd34c7e9b11928811651d59b8e04c.png,center-center,False,pin/632741e1954f3732c5859369acb58224.png,0,/user/5e1a2d512034a0503c2c3cf3,5e1a2d512034a0503c2c3cf3,Germany,200,50,,,0,2818235,200,2782050,200,2782050,410,200,4,11,60,0,1267,1768,-20,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/632741e1954f3732c5859369acb58224.png,False,,,6,True,False,22,16,0.72727275,118,83,0.7033898,88,59,0.67045456,228,158,0.69298244,264,2.4204545,147,55.68,662.42,2669,716,5.1857543,238,33.24,2929,59.58,35,8,4,24,3.0416667,9,0.375,277,0.62454873,6,3,0,1034,1.1663443,862,83.37,511.4,7434,18,381,1.3910761,232,60.89,376.52,3541,14,280,1.3535714,181,64.64,668.16,2329,15,1695,1.3036638,1275,75.22,518.69,13304,47,19,0,0,2818235,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,60,11,4,12,12,1.0,1452,1,Champion,1808,Champion,1769,,1,28,Champion,Champion,,68,10-22-2024 18:53:28
Mark Lajovic,2023-03-25,True,Pro,True,False,pin/7855b8f943d77c22eef6428394be7864.png,center-center,False,pin/bef359463af69f188f02c306af6e3c52.png,0,/user/641e3a817455b81fcfe0b0ba,641e3a817455b81fcfe0b0ba,United States of America,74,50,,,0,193438,74,186650,75,193490,230,80,0,0,0,0,800,1301,-11,50,1100,1500,True,2024-02-22T23:40:49.2890000Z,2024-02-22T23:40:49.2890000Z,False,False,,pin/bef359463af69f188f02c306af6e3c52.png,False,,,0,False,False,0,0,0.0,9,4,0.44444445,8,4,0.5,17,8,0.47058824,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,415,1.4240963,239,57.59,626.27,3214,7,1682,1.4577883,912,54.22,504.8,15236,51,245,1.522449,117,47.76,1180.87,1880,9,2342,1.4681114,1268,54.14,770.65,20330,67,0,0,0,193438,74,186650,75,193490,230,80,73,Trailblazer,0,0,0,17,16,0.9411765,188,1,Champion,1807,Champion,1788,1537,1,53,Champion,Champion,1516,69,10-22-2024 18:53:28
Qtub_LTU(YT),2021-12-16,True,Unlimited,True,False,pin/65ee8c23b93ab4645ce058eacebc4fcc.png,center-center,False,pin/52e06a54a17bdf67aa648dfd2565c19e.png,0,/user/61bb710093ca2b0001ece64d,61bb710093ca2b0001ece64d,Lithuania,160,50,,,0,1512669,160,1499030,161,1524950,370,170,2,2,6,0,1054,1555,-23,50,1100,1500,True,2024-10-19T12:43:05.1830000Z,2024-10-19T12:43:05.1830000Z,False,False,2024-11-18T12:43:05.1830000Z,pin/52e06a54a17bdf67aa648dfd2565c19e.png,False,,,0,False,False,1,0,0.0,333,185,0.5555556,53,27,0.509434,387,212,0.54780364,47,2.7021277,20,42.55,949.92,580,357,2.509804,185,51.82,2531,67.76,3,1,2,23,3.173913,4,0.17391305,251,0.561753,1,1,0,573,1.3507854,372,64.92,601.25,4333,3,827,1.4510279,454,54.9,527.77,7380,23,30,1.4666667,16,53.33,1012.38,243,0,1430,1.4228266,842,58.88,713.8,11956,26,2,0,0,1512669,160,1499030,161,1524950,370,170,160,Ultimate Explorer,6,2,2,50,39,0.78,171,1,Champion,1805,Champion,1777,,1,58,Champion,Champion,,70,10-22-2024 18:53:28
Niels,2021-08-03,True,Pro,True,False,pin/86ffa4d175bd47491cb8d6255a496664.png,center-center,False,pin/2ed4bd0c20a49b933019222e346dc76f.png,0,/user/6109418c6eba2c00010bc1f8,6109418c6eba2c00010bc1f8,Netherlands,175,50,,,0,1938732,175,1919520,176,1950030,380,180,1,1,13,0,975,1476,-13,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/2ed4bd0c20a49b933019222e346dc76f.png,False,,,0,False,False,4,2,0.5,271,161,0.59409595,193,120,0.6217617,468,283,0.60470086,69,3.1884058,24,34.78,1588.81,647,470,2.7893617,179,38.09,3235,61.98,12,1,1,2,2.5,1,0.5,16,0.8125,0,0,0,263,1.3117871,181,68.82,596.18,2132,1,134,1.3507463,87,64.93,449.12,1195,8,89,1.3932585,54,60.67,812.88,707,8,486,1.3519306,322,66.26,619.39,4034,17,1,0,0,1938732,175,1919520,176,1950030,380,180,170,Ultimate Explorer Pro,13,1,1,33,31,0.93939394,1457,1,Champion,1803,Champion,1663,1759,1,60,Champion,Champion,,71,10-22-2024 18:53:28
セビー,2020-10-03,True,Unlimited,False,False,pin/1aacfef3777d9e20819a5023c27e5636.png,center-center,False,pin/288f0010117d89634bab63b75f7bd275.png,0,/user/5f78fd9b38449c0001239089,5f78fd9b38449c0001239089,Guam,140,50,,,0,1059389,140,1040010,141,1060380,350,150,0,0,0,0,1305,1806,12,50,1100,1500,True,2024-10-18T17:23:33.9880000Z,2024-10-18T17:23:33.9880000Z,False,False,2024-11-17T17:23:33.9880000Z,pin/288f0010117d89634bab63b75f7bd275.png,False,,,0,False,False,1,0,0.0,33,17,0.5151515,26,15,0.5769231,60,32,0.53333336,29,2.0689654,13,44.83,471.97,266,103,1.8834951,69,66.99,690,76.38,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,1019,1.4671246,543,53.29,850.79,7579,80,342,1.4152046,200,58.48,624.94,2862,19,2504,1.4824281,1296,51.76,848.85,19939,104,3865,1.454919,2039,52.76,774.86,30380,203,0,0,0,1059389,140,1040010,141,1060380,350,150,140,Supreme Explorer Pro,0,0,0,457,386,0.84463894,1304,1,Champion,1803,Champion,,1789,1,30,Champion,Champion,,72,10-22-2024 18:53:28
Rohan,2015-06-22,True,Pro,True,False,pin/353d2411d8cecb949236c2e4454b1cb2.png,center-center,False,pin/c19dfd5682b4651f760d8c0e4d8b3cfd.png,0,/user/55886976b6a07066e4f4336e,55886976b6a07066e4f4336e,United Kingdom,178,50,,,0,2030524,178,2012010,179,2043490,380,180,1,4,24,0,1218,1719,6,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/c19dfd5682b4651f760d8c0e4d8b3cfd.png,False,,,4,True,False,84,70,0.8333333,180,131,0.7277778,76,52,0.68421054,340,253,0.7441176,280,2.1107142,158,56.43,565.02,1332,788,2.7093909,372,47.21,1503,77.11,14,4,1,7,1.2857143,5,0.71428573,114,0.7894737,4,0,0,504,1.2202381,393,77.98,431.69,3725,5,134,1.4104477,79,58.96,431.16,1290,5,0,0.0,0,0.0,0.0,0,0,638,0.87689525,472,73.98,287.61,5015,10,6,0,0,2030524,178,2012010,179,2043490,380,180,170,Ultimate Explorer Pro,24,4,1,11,11,1.0,5126,1,Champion,1801,Champion,1775,,1,50,Champion,Champion,,73,10-22-2024 18:53:28
xLpg,2021-06-06,True,Unlimited,True,False,pin/9cda0f8e14e3658e0d107fa3f97b41d7.png,center-center,False,pin/dfd782f360b53d69598e00516bc840ba.png,0,/user/60bcd5b54f508e0001132823,60bcd5b54f508e0001132823,Poland,166,50,,,0,1675153,166,1659000,167,1686710,370,170,1,0,9,0,1199,1700,15,50,1100,1500,True,2024-08-30T22:04:24.7350000Z,2024-08-30T22:04:24.7350000Z,False,True,,pin/dfd782f360b53d69598e00516bc840ba.png,False,2024-10-24T14:24:19.1100000Z,,0,False,False,6,3,0.5,416,257,0.61778843,280,179,0.63928574,702,439,0.62535614,75,4.1866665,11,14.67,2107.02,539,47,3.468085,15,31.91,322,70.81,2,0,0,3,1.6666666,2,0.6666667,36,0.75,2,0,1,418,1.3588517,268,64.11,1087.6,2973,3,284,1.4401408,159,55.99,528.64,2490,8,154,1.3571428,99,64.29,797.29,1183,13,856,1.3853785,526,61.45,804.51,6646,24,5,0,0,1675153,166,1659000,167,1686710,370,170,160,Ultimate Explorer,9,0,1,1,1,1.0,714,1,Champion,1801,Champion,,1766,1,61,Champion,Champion,,74,10-22-2024 18:53:28
pav,2020-03-10,True,Pro,True,False,pin/5264b5e1a3067ed872337552305a2d63.png,center-center,False,pin/0038b3e9c89c8c81e8da823d3fc07774.png,0,/user/5e67d59212777c2530253a95,5e67d59212777c2530253a95,Canada,192,50,,,0,2513375,192,2482850,193,2519020,400,200,2,2,35,0,1397,1898,12,50,1100,1500,True,2024-10-10T22:53:28.2420000Z,2024-10-10T22:53:28.2420000Z,False,False,2024-11-09T22:53:28.2420000Z,pin/0038b3e9c89c8c81e8da823d3fc07774.png,False,,,0,False,False,27,19,0.7037037,145,89,0.6137931,58,36,0.62068963,230,144,0.62608695,99,2.1111112,52,52.53,727.01,529,3048,2.5295277,1613,52.92,8104,80.91,25,2,1,17,1.7647059,13,0.7647059,287,0.8641115,9,0,1,1808,1.0951327,1636,90.49,214.88,14890,66,829,1.3546442,535,64.54,392.92,7754,39,155,1.4193548,90,58.06,740.06,1234,6,2792,1.2897105,2261,80.98,449.29,23878,111,1,0,0,2513375,192,2482850,193,2519020,400,200,190,Ultimate Explorer Elite,35,2,2,411,382,0.9294404,6598,1,Champion,1792,Champion,1858,1702,1,9,Champion,Champion,1946,75,10-22-2024 18:53:28
ademe,2021-02-08,True,Unlimited,True,False,pin/0a9ab76ada7a0492be8e26fb54fdd652.png,center-center,False,pin/7ffa739f7071af3f20b1d48c16879c5f.png,0,/user/602172d421cb1b0001c8bce5,602172d421cb1b0001c8bce5,Russian Federation,57,50,,,0,96307,57,93490,58,97850,180,60,0,0,0,0,130,631,-21,20,450,675,True,2024-10-04T17:20:42.9800000Z,2024-10-04T17:20:42.9800000Z,False,False,2024-11-03T17:20:42.9800000Z,pin/7ffa739f7071af3f20b1d48c16879c5f.png,False,,,0,False,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,66,5.7727275,1,1.52,2586.07,346,604,4.5198674,54,8.94,2845,56.38,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,94,1.2234043,73,77.66,1022.77,434,36,203,1.2463055,153,75.37,392.47,1663,34,0,0.0,0,0.0,0.0,0,0,297,0.82323664,226,76.09,471.75,2097,70,0,0,0,96307,57,93490,58,97850,180,60,57,Master Expeditioner,0,0,0,0,0,0.0,46,4,Gold I,1792,Gold,1764,,4,15,Gold I,Gold,,76,10-22-2024 18:53:28
logan,2020-12-26,True,Pro,True,False,pin/dabc8b213266cd09e2f71bdb56bc6fc7.png,center-center,False,pin/8a699164821bf3b10fdae45398124dd7.png,0,/user/5fe6c5e7ae5ccd000197c9e7,5fe6c5e7ae5ccd000197c9e7,United States of America,185,50,,,0,2251975,185,2239240,186,2273020,390,190,0,1,5,0,436,937,-166,40,850,1100,False,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/8a699164821bf3b10fdae45398124dd7.png,False,,,0,False,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,75,3.5466666,21,28.0,547.44,165,447,4.183445,107,23.94,543,77.53,3,1,0,7,2.4285715,5,0.71428573,102,0.8235294,2,0,0,105,1.2190477,82,78.1,514.75,716,17,171,1.2807018,123,71.93,319.15,1471,19,0,0.0,0,0.0,0.0,0,0,276,0.8332498,205,74.28,277.97,2187,36,0,0,0,2251975,185,2239240,186,2273020,390,190,180,Ultimate Explorer Supreme,5,1,0,0,0,0.0,645,5,Gold II,1790,Gold,1750,,6,1,Gold III,Gold,,77,10-22-2024 18:53:28
Zifuko,2020-04-01,True,Pro,True,False,pin/7efc76b0ac6bb28b0426935441733c04.png,center-center,False,pin/2a004be737212931b501bee138687563.png,0,/user/5e85136d3d4b6a36ac752a7b,5e85136d3d4b6a36ac752a7b,France,200,50,,,0,3102618,200,2782050,200,2782050,410,200,3,1,22,0,1240,1741,17,50,1100,1500,True,2024-01-18T16:53:25.9750000Z,2024-01-18T16:53:25.9750000Z,False,False,,pin/2a004be737212931b501bee138687563.png,False,,,0,False,False,23,16,0.6956522,87,44,0.50574714,44,19,0.4318182,154,79,0.512987,318,3.172956,109,34.28,641.93,1922,901,3.5882354,239,26.53,2087,66.27,14,0,1,29,1.7586207,13,0.44827586,461,0.68112797,1,1,2,1717,1.2545137,1280,74.55,458.73,14010,28,364,1.4093406,215,59.07,469.65,3273,10,239,1.4435146,133,55.65,945.49,2014,8,2320,1.369123,1628,70.17,624.62,19297,46,7,0,0,3102618,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,22,1,3,116,106,0.9137931,3795,1,Champion,1786,Champion,,1683,1,48,Champion,Champion,,78,10-22-2024 18:53:28
Gingey,2020-02-04,True,Unlimited,True,True,pin/cebdc050bf19dad4eb62819bf44b7588.png,center-center,False,pin/a4e47746a84ef99174b1898f51d6d3f0.png,0,/user/5e3902221e34a02e78635533,5e3902221e34a02e78635533,United States of America,200,50,,,0,2849536,200,2782050,200,2782050,410,200,0,0,0,0,1392,1893,-14,50,1100,1500,True,2023-12-13T01:45:24.6590000Z,2023-12-13T01:45:24.6590000Z,False,False,,pin/a4e47746a84ef99174b1898f51d6d3f0.png,False,,,2,False,False,51,21,0.4117647,150,105,0.7,86,65,0.75581396,287,191,0.66550523,0,0.0,0,0.0,0.0,0,15,2.6666667,8,53.33,86,67.44,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,876,1.3287672,588,67.12,479.42,6271,23,381,1.4251969,219,57.48,448.03,3300,11,358,1.4134078,210,58.66,732.64,2702,20,1615,1.3891239,1017,62.97,553.36,12273,54,0,0,0,2849536,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,0,0,0,77,74,0.96103895,281,1,Champion,1782,Champion,,,1,9,Champion,Champion,,79,10-22-2024 18:53:28
Rogla,2023-09-02,True,Unlimited,False,False,pin/fd67fbf499823258ffd3c3dd6c474a80.png,center-center,False,pin/90d6f457c7ccf4d5531401409cdc367f.png,0,/user/64f290d4dd716758ab45b51d,64f290d4dd716758ab45b51d,Slovenia,57,50,,,0,95048,57,93490,58,97850,180,60,0,0,0,0,1054,1555,11,50,1100,1500,True,2024-07-08T08:32:10.2960000Z,2024-07-08T08:32:10.2960000Z,False,False,,pin/90d6f457c7ccf4d5531401409cdc367f.png,False,,,0,False,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,2.25,5,62.5,170.16,68,3,1.3333334,2,66.67,19,100.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,168,1.2321428,129,76.79,266.61,1344,25,229,1.3056768,159,69.43,388.68,2042,11,305,1.357377,196,64.26,670.02,2387,20,702,1.298399,484,68.95,441.77,5773,56,0,0,0,95048,57,93490,58,97850,180,60,57,Master Expeditioner,0,0,0,0,0,0.0,29,1,Champion,1781,Champion,1797,1788,1,6,Champion,Champion,,80,10-22-2024 18:53:28
